"episode","env.name: fourrooms - _step","env.name: fourrooms - _step__MIN","env.name: fourrooms - _step__MAX","env.name: fourrooms - steps","env.name: fourrooms - steps__MIN","env.name: fourrooms - steps__MAX"
"78","54781.82352941176","37081","95755","100.66666666666667","16","408"
"79","55038.96078431373","37241","95903","110.27450980392157","17","839"
"80","55310.37254901961","37405","96022","116.62745098039215","21","1741"
"81","55633.58823529412","37480","96295","139.66666666666666","29","1908"
"82","55923.8431372549","37860","96391","125","24","957"
"83","56243.333333333336","37968","96461","137.98039215686273","18","2000"
"84","56525.76470588235","38474","96612","121.54901960784314","26","910"
"85","56824.705882352944","38643","97156","128.84313725490196","23","834"
"86","57101.450980392154","38821","97575","119.01960784313725","25","533"
"87","57329.62745098039","39012","97726","97.41176470588235","23","469"
"88","57533.549019607846","39109","97924","86.58823529411765","14","366"
"89","57757.1568627451","39293","98335","95.43137254901961","25","699"
"90","58040.509803921566","39401","98452","121.92156862745098","13","2000"
"91","58293.01960784314","39545","98673","108.23529411764706","17","556"
"92","58522.01960784314","39610","98794","97.7843137254902","16","455"
"93","58839.529411764706","39772","98923","137.11764705882354","16","1242"
"94","59023.549019607846","39869","99051","77.7843137254902","14","645"
"95","59256.21568627451","39979","99121","99.3921568627451","16","640"
"96","59465.25490196078","40216","99211","88.92156862745098","19","387"
"97","59639.58823529412","40366","99278","73.49019607843137","15","382"
"98","59816.313725490196","40456","99375","74.54901960784314","20","322"
"99","60055.882352941175","40618","99429","102.45098039215686","15","1328"
"100","60236.37254901961","40778","99510","76.2156862745098","15","557"
"101","60456.05882352941","40911","99582","93.6470588235294","14","701"
"102","60684.74509803922","41010","99721","97.62745098039215","17","501"
"103","60877.490196078434","41156","99757","81.66666666666667","12","482"
"104","61074.686274509804","41338","99863","83.6470588235294","17","646"
"105","61276.82352941176","41604","99976","85.82352941176471","19","573"
"106","61512.666666666664","41712","100075","100.7843137254902","12","652"
"107","61710","41840","100234","83.76470588235294","21","395"
"108","61896.74509803922","41928","100284","78.96078431372548","18","339"
"109","62069.8431372549","42020","100383","72.94117647058823","15","390"
"110","62265.01960784314","42115","100464","82.74509803921569","19","369"
"111","62491.25490196078","42270","100597","96.52941176470588","14","1582"
"112","62728.43137254902","42493","100635","101.43137254901961","13","519"
"113","62887.35294117647","42742","100822","66.6470588235294","14","271"
"114","63051.98039215686","42974","100900","69.15686274509804","20","213"
"115","63214.92156862745","43143","101002","68.41176470588235","18","296"
"116","63382.78431372549","43564","101112","70.6078431372549","19","197"
"117","63606.21568627451","43638","101265","95.29411764705883","18","631"
"118","63831","43741","101384","95.90196078431373","15","1818"
"119","64013.05882352941","43811","101490","76.94117647058823","13","627"
"120","64187.450980392154","43872","101575","73.50980392156863","23","485"
"121","64360.529411764706","44083","101740","72.92156862745098","16","745"
"122","64504.58823529412","44245","102030","60","12","137"
"123","64695.39215686275","44340","102631","80.80392156862744","14","263"
"124","64918.64705882353","44504","102833","95.23529411764706","18","1377"
"125","65095.117647058825","44581","103180","74.43137254901961","16","237"
"126","65396.23529411765","44785","104064","129.8235294117647","19","1417"
"127","65617.49019607843","44900","104408","94.3529411764706","21","815"
"128","65785.37254901961","45080","104584","70.58823529411765","20","460"
"129","65948.03921568628","45154","104696","68.33333333333333","14","221"
"130","66137.64705882352","45220","105094","80.25490196078431","17","290"
"131","66300.3137254902","45278","105223","68.29411764705883","16","367"
"132","66452.5294117647","45366","105360","63.627450980392155","18","383"
"133","66601.43137254902","45465","105450","62.21568627450981","17","296"
"134","66795.05882352941","45519","107326","82.01960784313725","15","830"
"135","66957.27450980392","45573","107527","68.13725490196079","17","346"
"136","67115.72549019608","45742","107743","66.37254901960785","15","257"
"137","67296.72549019608","45807","107936","76.47058823529412","15","539"
"138","67496.35294117648","45886","108276","84.74509803921569","16","346"
"139","67652.07843137255","45978","108463","65.17647058823529","14","227"
"140","67848.64705882352","46041","108631","83.37254901960785","19","815"
"141","67986.25490196078","46138","108834","57.15686274509804","15","541"
"142","68132.74509803922","46203","109183","61.11764705882353","17","269"
"143","68307.3137254902","46309","109563","73.58823529411765","18","590"
"144","68505.3137254902","46464","111406","83.98039215686275","17","815"
"145","68656.39215686274","46576","112193","63.15686274509804","13","346"
"146","68845.13725490196","46651","112362","79.88235294117646","19","667"
"147","69018.54901960785","46698","112693","73.09803921568627","16","399"
"148","69199.41176470589","46763","112900","76.37254901960785","15","635"
"149","69358.58823529411","46927","113327","66.74509803921569","15","275"
"150","69525.45098039215","47008","114578","70.15686274509804","19","552"
"151","69804.56862745098","47157","117226","120.03921568627452","20","1173"
"152","69996.1568627451","47319","117708","81.17647058823529","20","965"
"153","70149.5294117647","47461","117816","64.11764705882354","18","367"
"154","70365.74509803922","47555","118365","92.11764705882354","15","987"
"155","70594.1568627451","47620","118660","97.52941176470588","18","601"
"156","70744.56862745098","47679","118918","62.8235294117647","17","370"
"157","70962.07843137255","47809","119035","92.72549019607843","15","564"
"158","71090.8431372549","47877","119164","53.1764705882353","16","135"
"159","71269.07843137255","48068","119233","75.25490196078431","21","577"
