Wall time,Step,Value
1689574706.8410242,1700,87.0
1689574706.9916894,1701,56.0
1689574707.8701437,1703,114.0
1689574708.9274743,1705,74.0
1689574709.6967003,1708,148.0
1689574710.2177649,1710,117.0
1689574710.391675,1711,65.0
1689574710.4887216,1712,34.0
1689574710.8533216,1713,133.0
1689574712.6593585,1719,61.0
1689574713.8589163,1723,152.0
1689574714.124297,1724,93.0
1689574714.2402844,1725,43.0
1689574714.3405948,1726,40.0
1689574716.7064157,1731,125.0
1689574718.825424,1739,67.0
1689574719.1152537,1740,106.0
1689574720.4238665,1744,172.0
1689574721.423095,1746,278.0
1689574722.7478077,1749,190.0
1689574722.9542792,1750,78.0
1689574723.3701541,1751,155.0
1689574723.4754353,1752,37.0
1689574724.8746943,1754,296.0
1689574725.1329215,1755,102.0
1689574725.6023216,1758,47.0
1689574726.961201,1763,205.0
1689574727.2609336,1764,112.0
1689574727.6103618,1766,96.0
1689574728.1544437,1769,37.0
1689574730.2513003,1776,64.0
1689574730.412653,1777,52.0
1689574730.9727886,1778,213.0
1689574731.676591,1781,80.0
1689574732.4042175,1785,83.0
1689574732.6591175,1786,86.0
1689574732.7399454,1787,30.0
1689574733.473337,1790,106.0
1689574733.6628456,1791,73.0
1689574733.9553177,1793,41.0
1689574734.4603245,1795,69.0
1689574735.3589122,1797,141.0
1689574736.8362348,1801,32.0
1689574737.0780537,1803,45.0
1689574740.000049,1809,115.0
1689574740.4970996,1811,86.0
1689574741.2633986,1815,54.0
1689574742.495222,1820,82.0
1689574744.22372,1824,76.0
1689574744.6959248,1827,52.0
1689574744.8933125,1828,83.0
1689574745.494447,1830,116.0
1689574745.7339675,1831,87.0
1689574746.1251626,1833,78.0
1689574746.2888021,1834,67.0
1689574746.4883678,1835,73.0
1689574748.0011914,1837,144.0
1689574748.5791748,1838,192.0
1689574748.8326194,1839,96.0
1689574750.884057,1846,26.0
1689574751.0629108,1847,66.0
1689574751.1859684,1848,46.0
1689574751.3955274,1849,75.0
1689574752.595111,1852,29.0
1689574755.0816438,1861,50.0
1689574755.7203822,1865,57.0
1689574755.8991692,1866,66.0
1689574756.1946084,1867,108.0
1689574756.3880763,1868,73.0
1689574756.9991324,1872,50.0
1689574757.1312544,1873,47.0
1689574757.343407,1875,32.0
1689574757.4993882,1876,58.0
1689574758.8952653,1878,63.0
1689574759.4914768,1881,60.0
1689574760.2325995,1884,74.0
1689574760.340855,1885,34.0
1689574760.5389137,1887,36.0
1689574760.7012374,1889,28.0
1689574761.0479875,1891,76.0
1689574776.8511987,1896,37.0
1689574777.3658829,1900,42.0
1689574777.7314942,1903,32.0
1689574778.1604085,1907,44.0
1689574778.3755975,1909,46.0
1689574778.5003216,1910,44.0
1689574778.5851715,1911,32.0
1689574778.8837721,1914,31.0
1689574779.5459468,1919,47.0
1689574780.4318655,1925,44.0
1689574780.5577033,1926,51.0
1689574780.6464753,1927,35.0
1689574780.9513147,1930,32.0
1689574781.3292098,1933,29.0
1689574781.693728,1936,36.0
1689574781.798251,1937,39.0
1689574782.3222582,1941,40.0
1689574782.5177631,1942,81.0
1689574782.6353228,1943,42.0
1689574783.0338345,1946,43.0
1689574783.3846107,1948,57.0
1689574783.8050282,1951,64.0
1689574784.1715407,1954,44.0
1689574784.4858878,1957,40.0
1689574785.026791,1961,42.0
1689574785.2083256,1962,68.0
1689574785.3187158,1963,42.0
1689574785.446004,1964,48.0
1689574785.56197,1965,43.0
1689574785.8512647,1967,33.0
1689574785.9621978,1968,38.0
1689574786.123654,1969,58.0
1689574786.2538655,1970,51.0
1689574787.2101119,1978,44.0
1689574787.4932308,1980,51.0
1689574787.6261046,1981,52.0
1689574787.745087,1982,41.0
1689574787.8726623,1983,40.0
1689574788.3237157,1986,65.0
1689574788.6132805,1988,64.0
1689574788.72662,1989,42.0
1689574789.1270351,1992,54.0
1689574789.253318,1993,51.0
1689575066.2788472,2017,14191.0
1689575113.8456802,2018,18000.0
1689575271.7669938,2022,12606.0
1689575318.611874,2023,18000.0
1689575367.685127,2024,18000.0
1689575462.8264132,2026,18000.0
1689575510.857517,2027,18000.0
1689575589.597141,2029,18000.0
1689575684.8075428,2032,18000.0
1689575718.739207,2033,12816.0
1689575807.9488807,2035,18000.0
1689575808.5363846,2036,219.0
1689575855.9699113,2037,18000.0
1689575986.0711477,2041,12885.0
1689575986.888152,2042,279.0
1689576049.3511043,2044,18000.0
1689576088.8491764,2045,14104.0
1689576132.8597474,2048,1635.0
1689576226.4459953,2050,18000.0
1689576347.1227686,2055,820.0
1689576350.356997,2056,1226.0
1689576396.3166645,2057,18000.0
1689576443.3302162,2058,18000.0
1689576830.0304043,2068,1006.0
1689576831.4481075,2069,569.0
1689576915.4428897,2071,18000.0
1689576940.476942,2075,1444.0
1689577124.658869,2079,18000.0
1689577171.058413,2080,18000.0
1689577343.1481013,2085,8144.0
1689577347.8204103,2087,792.0
1689577350.7549763,2088,1173.0
1689577443.8877048,2090,18000.0
1689577466.8888023,2091,8923.0
1689577468.1543,2092,475.0
1689577553.1486974,2096,13274.0
1689577553.6549218,2098,129.0
1689577554.2361817,2099,221.0
1689577554.8357356,2101,138.0
1689577556.5064504,2104,222.0
1689577556.7135935,2105,79.0
1689577557.8907683,2106,443.0
1689577558.4741604,2107,223.0
1689577560.7170353,2110,276.0
1689577561.904055,2111,456.0
1689577610.6589937,2115,18000.0
1689577618.7924616,2116,3267.0
1689577649.9637105,2120,434.0
1689577651.3714538,2121,534.0
1689577652.4576437,2123,172.0
1689577653.0053728,2124,224.0
1689577653.1686392,2125,70.0
1689577654.615755,2128,282.0
1689577670.6812167,2135,4894.0
1689577671.093933,2136,157.0
1689577673.1886683,2137,791.0
1689577707.8370082,2140,1104.0
1689577723.6347222,2144,1116.0
1689577746.923394,2150,4023.0
1689577747.1588464,2151,90.0
1689577875.1557093,2155,18000.0
1689577921.7965975,2156,18000.0
1689577978.9884317,2160,224.0
1689577979.4989502,2161,188.0
1689577980.3692107,2162,357.0
1689577980.7483478,2163,147.0
1689578081.7891831,2170,2483.0
1689578265.858575,2174,18000.0
1689578333.008215,2176,18000.0
1689578379.0796895,2177,18000.0
1689578589.4131815,2184,8226.0
1689578615.7674181,2186,9133.0
1689578644.7261915,2188,1833.0
1689578649.9836905,2190,1621.0
1689578750.231299,2195,992.0
1689578977.9632733,2200,18000.0
1689579059.7436562,2202,13198.0
1689579061.7867439,2203,669.0
1689579113.7996166,2204,18000.0
1689579223.3009737,2207,9597.0
1689579317.181258,2210,14992.0
1689579335.0558197,2212,1458.0
1689579345.3030307,2213,3517.0
1689579352.1898983,2215,1087.0
1689579359.1051562,2216,2408.0
1689579411.0418456,2217,18000.0
1689579602.989634,2222,12363.0
1689579654.5950017,2223,18000.0
1689579705.2899692,2224,17605.0
1689579728.6819196,2226,669.0
1689579731.2826514,2228,107.0
1689579995.4576883,2237,2068.0
1689580065.8485193,2240,18000.0
1689580079.285965,2243,252.0
1689580084.6060514,2245,1116.0
1689580377.5470948,2255,164.0
1689580378.3888185,2258,90.0
1689580378.7718985,2259,139.0
1689580380.6679218,2265,188.0
1689580434.4837737,2267,18000.0
1689580463.7941933,2268,10203.0
