,reward_8,lengths_8,mean_lengths_8,reward_4,lengths_4,mean_lengths_4,reward_1,lengths_1,mean_lengths_1,smooth_1,smooth_4,smooth_8
95,1.0,88.0,417.7157894736842,1.0,59.0,344.5263157894737,1.0,66.0,278.63157894736844,287.86601220594366,1595.623124801121,360.614435090171
96,1.0,92.0,414.28125,1.0,83.0,341.5520833333333,1.0,23.0,276.4166666666667,285.21735208388424,1580.4968935531099,357.9282907392693
97,1.0,20.0,410.9587628865979,1.0,40.0,338.88659793814435,1.0,56.0,273.8041237113402,282.9251785630454,1565.0919246175788,354.54900783187657
98,1.0,39.0,406.96938775510205,1.0,25.0,335.83673469387753,1.0,26.0,271.5816326530612,280.35592677741494,1549.691005371403,351.3935177535578
99,1.0,91.0,403.25252525252523,1.0,30.0,332.6969696969697,1.0,57.0,269.1010101010101,278.12236750964075,1534.4940953176888,348.7895825760222
100,1.0,50.0,400.13,1.0,28.0,329.67,1.0,92.0,266.98,276.2611438345444,1519.4291543645118,345.801686750262
101,1.0,155.0,396.47,1.0,39.0,292.32,1.0,30.0,263.43,273.79853239619894,1504.6248628208668,343.89366988275935
102,1.0,39.0,395.38,1.0,434.0,281.42,1.0,101.0,90.3,272.07054707223693,1493.918614192658,340.84473318393174
103,1.0,30.0,390.06,1.0,30.0,283.58,1.0,38.0,90.53,269.7298416015146,1479.2794280507314,337.7362858520924
104,1.0,61.0,369.09,1.0,34.0,265.91,1.0,43.0,87.91,267.46254318549944,1464.8266337702241,334.9689229935715
105,1.0,54.0,358.75,1.0,59.0,257.18,1.0,38.0,75.75,265.1679177536444,1450.7683674325217,332.15923376363577
106,1.0,193.0,356.49,1.0,64.0,252.24,1.0,29.0,66.67,262.806238576108,1436.9006837581965,330.7676414259994
107,1.0,60.0,338.6,1.0,71.0,250.33,1.0,48.0,65.33,260.6581761903469,1423.2416769206145,328.0599650117394
108,1.0,144.0,328.24,1.0,27.0,248.44,1.0,32.0,61.02,258.3715944284434,1409.2792601514084,326.219365361622
109,1.0,46.0,316.25,1.0,43.0,245.62,1.0,22.0,57.24,256.007878484159,1395.6164675498944,323.41717170800575
110,1.0,146.0,303.29,1.0,18.0,215.44,1.0,34.0,57.03,253.78779969931742,1381.8403028743955,321.64299999092566
111,1.0,27.0,295.69,1.0,76.0,205.96,1.0,23.0,57.11,251.47992170232422,1368.7818998456517,318.69656999101636
112,1.0,53.0,287.9,1.0,39.0,199.57,1.0,28.0,57.08,249.24512248530098,1355.4840808471952,316.0396042911062
113,1.0,72.0,287.17,1.0,100.0,191.13,1.0,22.0,57.09,246.97267126044798,1342.9292400387233,313.5992082481951
114,1.0,33.0,271.01,1.0,44.0,191.27,1.0,14.0,56.5,244.64294454784348,1329.939947638336,310.79321616571315
115,1.0,29.0,242.53,1.0,54.0,172.62,1.0,31.0,56.45,242.50651510236506,1317.1805481619526,307.97528400405605
116,1.0,38.0,223.39,1.0,37.0,171.48,1.0,25.0,56.56,240.3314499513414,1304.378742680333,305.2755311640155
117,1.0,50.0,209.94,1.0,25.0,154.18,1.0,108.0,55.51,239.008135451828,1291.5849552535296,302.7227758523753
118,1.0,84.0,207.31,1.0,50.0,152.99,1.0,35.0,56.22,236.9680540973097,1279.1691057009944,300.53554809385156
119,1.0,32.0,191.52,1.0,46.0,149.78,1.0,33.0,56.35,234.92837355633662,1266.8374146439844,297.850192612913
120,1.0,56.0,187.8,1.0,36.0,149.3,1.0,61.0,56.15,233.18908982077326,1254.5290404975444,295.4316906867839
121,1.0,55.0,187.7,1.0,47.0,147.97,1.0,47.0,55.89,231.32719892256551,1242.453750092569,293.02737377991605
122,1.0,27.0,181.35,1.0,28.0,144.33,1.0,30.0,55.82,229.31392693333987,1230.3092125916432,290.3671000421169
123,1.0,70.0,167.47,1.0,54.0,143.79,1.0,66.0,55.48,227.68078766400646,1218.5461204657267,288.1634290416957
124,1.0,66.0,167.17,1.0,101.0,132.54,1.0,29.0,55.58,225.69397978736637,1207.3706592610695,285.94179475127874
125,1.0,31.0,166.93,1.0,113.0,129.17,1.0,27.0,55.64,223.70703998949273,1196.4269526684589,283.39237680376596
126,1.0,77.0,165.79,1.0,46.0,126.19,1.0,86.0,53.36,222.32996958959782,1184.9226831417743,281.3284530357283
127,1.0,58.0,161.17,1.0,56.0,122.68,1.0,24.0,53.89,220.34666989370186,1173.6334563103565,279.09516850537096
128,1.0,58.0,160.95,1.0,43.0,121.65,1.0,32.0,53.76,218.46320319476484,1162.327121747253,276.88421682031725
129,1.0,16.0,159.61,1.0,73.0,120.63,1.0,29.0,53.58,216.5685711628172,1151.4338505297803,274.2753746521141
130,1.0,26.0,156.3,1.0,102.0,120.15,1.0,28.0,52.78,214.682885451189,1140.9395120244826,271.79262090559297
131,1.0,66.0,144.08,1.0,74.0,118.07,1.0,31.0,52.63,212.84605659667713,1130.2701169042377,269.7346946965371
132,1.0,110.0,138.96,1.0,32.0,116.61,1.0,27.0,52.42,210.98759603071036,1119.2874157351953,268.13734774957175
133,1.0,49.0,139.5,1.0,46.0,101.19,1.0,44.0,52.53,209.31772007040325,1108.5545415778433,265.94597427207606
134,1.0,83.0,138.94,1.0,26.0,100.61,1.0,62.0,50.39,207.8445428696992,1097.728996162065,264.1165145293553
135,1.0,22.0,136.64,1.0,89.0,99.03,1.0,29.0,49.8,206.0560974410022,1087.6417062004443,261.6953493840618
136,1.0,26.0,123.04,1.0,21.0,99.44,1.0,18.0,49.59,204.17553646659218,1076.9752891384398,259.33839589022114
137,1.0,17.0,122.11,1.0,85.0,98.27,1.0,41.0,49.52,202.54378110192624,1067.0555362470554,256.91501193131893
138,1.0,29.0,121.83,1.0,59.0,98.12,1.0,44.0,49.63,200.95834329090698,1056.9749808845847,254.63586181200574
139,1.0,147.0,110.95,1.0,29.0,85.73,1.0,61.0,49.32,199.55875985799793,1046.6952310757388,253.5595031938857
140,1.0,65.0,109.24,1.0,19.0,84.8,1.0,20.0,48.88,197.76317225941793,1036.4182787649813,251.67390816194683
141,1.0,67.0,105.79,1.0,32.0,84.08,1.0,46.0,48.93,196.24554053682377,1026.3740959773315,249.82716908032734
142,1.0,40.0,103.29,1.0,29.0,81.55,1.0,22.0,49.19,194.50308513145552,1016.4003550175581,247.72889738952406
143,1.0,32.0,102.9,1.0,41.0,81.37,1.0,22.0,48.92,192.77805428014096,1006.6463514673825,245.57160841562882
144,1.0,35.0,102.76,1.0,24.0,81.09,1.0,29.0,47.91,191.14027373733956,996.8198879527087,243.46589233147253
145,1.0,34.0,102.69,1.0,74.0,80.64,1.0,31.0,47.85,189.53887099996615,987.5916890731816,241.37123340815782
146,1.0,31.0,97.77,1.0,37.0,79.5,1.0,20.0,47.89,187.8434822899665,978.0857721824498,239.26752107407626
147,1.0,18.0,96.08,1.0,26.0,79.16,1.0,41.0,47.56,186.37504746706682,968.5649144606252,237.0548458633355
148,1.0,29.0,94.03,1.0,47.0,78.63,1.0,35.0,46.43,184.86129699239615,959.349265316019,234.97429740470213
149,1.0,88.0,92.68,1.0,76.0,77.67,1.0,37.0,46.59,183.38268402247218,950.5157726628588,233.5045544306551
150,1.0,45.0,91.05,1.0,37.0,77.71,1.0,20.0,46.35,181.74885718224743,941.3806149362302,231.61950888634854
151,1.0,25.0,90.81,1.0,42.0,76.02,1.0,34.0,45.49,180.27136861042496,932.3868087868678,229.55331379748506
152,1.0,33.0,90.45,1.0,23.0,71.53,1.0,19.0,45.44,178.6586549243207,923.2929406989991,227.58778065951023
153,1.0,48.0,90.13,1.0,19.0,70.39,1.0,25.0,45.23,177.1220683750775,914.2500112920092,225.79190285291511
154,1.0,32.0,89.9,1.0,160.0,66.23,1.0,17.0,45.13,175.5208476913267,906.7075111790891,223.85398382438595
155,1.0,29.0,88.72,1.0,22.0,66.1,1.0,46.0,44.76,174.22563921441343,897.8604360672982,221.90544398614207
156,1.0,36.0,88.57,1.0,37.0,65.45,1.0,55.0,44.79,173.03338282226932,889.2518317066252,220.04638954628066
